Date,Sector,Action,Spread,PnL,Holding_Period
2024-01-19,USD Sustainability-Linked Bonds,Sell,-162.5111,,
2024-01-22,USD Sustainability-Linked Bonds,Exit,-162.81279999999998,30169.999999998254,3.0
2024-01-23,USD Sustainability-Linked Bonds,Sell,-162.64499999999998,,
2024-01-25,USD Sustainability-Linked Bonds,Exit,-162.6748,2980.000000002292,2.0
2024-02-01,USD Sustainability-Linked Bonds,Buy,-165.38299999999998,,
2024-02-02,USD Sustainability-Linked Bonds,Exit,-163.82569999999998,155729.9999999998,1.0
2024-02-13,USD Sustainability-Linked Bonds,Sell,-161.02550000000002,,
2024-02-15,USD Sustainability-Linked Bonds,Exit,-161.7938,76829.99999999822,2.0
2024-02-16,USD Sustainability-Linked Bonds,Sell,-161.3005,,
2024-02-20,USD Sustainability-Linked Bonds,Exit,-161.699,39850.00000000127,4.0
2024-04-05,USD Sustainability-Linked Bonds,Sell,-161.1834,,
2024-04-09,USD Sustainability-Linked Bonds,Exit,-161.6871,50369.99999999807,4.0
2024-04-10,USD Sustainability-Linked Bonds,Sell,-159.9008,,
2024-04-22,USD Sustainability-Linked Bonds,Exit,-159.55380000000002,-34699.999999998,12.0
2024-04-25,USD Sustainability-Linked Bonds,Sell,-158.9042,,
2024-04-26,USD Sustainability-Linked Bonds,Exit,-159.18900000000002,28480.000000001837,1.0
2024-05-15,USD Sustainability-Linked Bonds,Buy,-162.3756,,
2024-05-17,USD Sustainability-Linked Bonds,Exit,-161.75709999999998,61850.00000000116,2.0
2024-05-21,USD Sustainability-Linked Bonds,Buy,-161.9681,,
2024-05-22,USD Sustainability-Linked Bonds,Exit,-161.9087,5939.999999998236,1.0
2024-06-04,USD Sustainability-Linked Bonds,Buy,-163.01890000000003,,
2024-06-07,USD Sustainability-Linked Bonds,Exit,-162.1998,81910.00000000201,3.0
2024-06-12,USD Sustainability-Linked Bonds,Buy,-163.2134,,
2024-06-20,USD Sustainability-Linked Bonds,Exit,-164.0759,-86249.9999999983,8.0
2024-07-11,USD Sustainability-Linked Bonds,Buy,-164.81240000000003,,
2024-07-15,USD Sustainability-Linked Bonds,Exit,-164.76919999999998,4320.000000004143,4.0
2024-07-16,USD Sustainability-Linked Bonds,Buy,-165.40589999999997,,
2024-07-18,USD Sustainability-Linked Bonds,Exit,-165.0489,35699.99999999709,2.0
2024-07-30,USD Sustainability-Linked Bonds,Buy,-165.57569999999998,,
2024-08-07,USD Sustainability-Linked Bonds,Exit,-167.779,-220330.00000000128,8.0
2024-08-13,USD Sustainability-Linked Bonds,Buy,-168.64810000000003,,
2024-08-15,USD Sustainability-Linked Bonds,Exit,-168.13479999999998,51330.00000000436,2.0
2024-09-04,USD Sustainability-Linked Bonds,Buy,-170.28279999999998,,
2024-09-18,USD Sustainability-Linked Bonds,Exit,-171.1696,-88680.00000000223,14.0
2024-10-04,USD Sustainability-Linked Bonds,Sell,-168.4057,,
2024-10-15,USD Sustainability-Linked Bonds,Exit,-168.3318,-7390.000000000896,11.0
2024-10-17,USD Sustainability-Linked Bonds,Sell,-167.61989999999997,,
2024-10-18,USD Sustainability-Linked Bonds,Exit,-167.70260000000002,8270.00000000453,1.0
2024-10-21,USD Sustainability-Linked Bonds,Sell,-166.6562,,
2024-10-24,USD Sustainability-Linked Bonds,Exit,-166.73019999999997,7399.9999999955435,3.0
2024-10-25,USD Sustainability-Linked Bonds,Sell,-166.3413,,
2024-10-29,USD Sustainability-Linked Bonds,Exit,-166.31210000000002,-2919.999999997458,4.0
2024-11-01,USD Sustainability-Linked Bonds,Sell,-165.35770000000002,,
2024-11-04,USD Sustainability-Linked Bonds,Exit,-166.22820000000002,87049.99999999927,3.0
2024-11-06,USD Sustainability-Linked Bonds,Sell,-165.06560000000002,,
